,operand1,operand2,result,target
159,68,72,140,add
160,38,41,79,add
161,12,20,32,add
162,2,3,5,add
163,92,26,118,add
164,2,79,81,add
165,80,8,88,add
166,53,30,83,add
167,82,15,97,add
168,98,22,120,add
169,86,46,132,add
170,90,4,94,add
171,14,45,59,add
172,23,83,106,add
173,7,26,33,add
174,76,48,124,add
175,53,30,83,add
176,62,53,115,add
177,41,20,61,add
178,66,87,153,add
179,89,65,154,add
180,89,63,152,add
181,38,39,77,add
182,89,85,174,add
183,36,85,121,add
184,47,43,90,add
185,95,44,139,add
186,16,56,72,add
187,6,65,71,add
188,8,33,41,add
189,38,45,83,add
190,57,6,63,add
191,75,40,115,add
192,0,81,81,add
193,51,5,56,add
194,76,24,100,add
195,21,57,78,add
196,76,17,93,add
197,0,32,32,add
198,52,85,137,add
199,23,34,57,add
200,14,42,56,add
201,75,31,106,add
202,98,99,197,add
203,64,3,67,add
204,52,12,64,add
205,20,26,46,add
206,21,76,97,add
207,72,4,76,add
208,33,47,80,add
209,27,29,56,add
210,60,47,107,add
211,2,12,14,add
212,76,14,90,add
213,50,75,125,add
214,98,25,123,add
215,17,72,89,add
216,19,70,89,add
217,40,35,75,add
218,94,78,172,add
219,8,80,88,add
220,84,98,182,add
221,90,40,130,add
222,95,76,171,add
223,95,5,100,add
224,90,11,101,add
225,40,93,133,add
226,37,23,60,add
227,76,38,114,add
228,61,81,142,add
229,82,36,118,add
230,58,75,133,add
231,25,5,30,add
232,67,24,91,add
233,13,92,105,add
234,17,28,45,add
235,48,16,64,add
236,46,73,119,add
237,40,15,55,add
238,40,83,123,add
239,87,64,151,add
240,0,60,60,add
241,98,50,148,add
242,51,26,77,add
243,100,97,197,add
244,5,98,103,add
245,53,35,88,add
246,76,96,172,add
247,31,80,111,add
248,32,51,83,add
249,22,37,59,add
250,21,64,85,add
251,21,33,54,add
252,78,94,172,add
253,93,58,151,add
254,19,77,96,add
255,68,61,129,add
256,95,46,141,add
257,6,22,28,add
258,6,91,97,add
259,78,20,98,add
260,69,60,129,add
261,78,91,169,add
262,9,63,72,add
263,46,12,58,add
264,26,93,119,add
265,86,8,94,add
266,86,81,167,add
267,49,77,126,add
268,99,29,128,add
269,87,98,185,add
270,90,77,167,add
271,79,87,166,add
272,31,23,54,add
273,16,71,87,add
274,27,72,99,add
275,65,41,106,add
276,86,98,184,add
277,98,30,128,add
278,17,40,57,add
279,34,37,71,add
280,41,90,131,add
281,59,13,72,add
282,69,40,109,add
283,38,76,114,add
284,34,63,97,add
285,30,3,33,add
286,17,10,27,add
287,65,70,135,add
288,1,62,63,add
289,80,12,92,add
290,82,61,143,add
291,97,16,113,add
292,56,95,151,add
293,55,61,116,add
294,14,43,57,add
295,28,61,89,add
296,94,11,105,add
297,57,41,98,add
298,2,31,33,add
299,96,72,168,add
300,12,47,59,add
301,55,50,105,add
302,93,93,186,add
303,0,40,40,add
304,12,1,13,add
305,50,55,105,add
306,10,90,100,add
307,1,70,71,add
308,45,74,119,add
309,52,55,107,add
310,90,39,129,add
311,45,85,130,add
312,31,3,34,add
313,93,11,104,add
314,66,93,159,add
315,3,76,79,add
316,22,40,62,add
317,100,6,106,add
318,5,97,102,add
319,8,70,78,add
320,5,41,46,add
321,41,75,116,add
322,13,94,107,add
323,72,85,157,add
324,34,13,47,add
325,74,31,105,add
326,9,51,60,add
327,51,49,100,add
328,25,88,113,add
329,24,37,61,add
330,87,33,120,add
331,88,36,124,add
332,12,101,113,add
333,38,51,89,add
334,1,90,91,add
335,44,13,57,add
336,69,27,96,add
337,65,32,97,add
338,74,49,123,add
339,45,32,77,add
340,67,8,75,add
341,60,29,89,add
342,96,23,119,add
343,90,94,184,add
344,89,86,175,add
345,70,68,138,add
346,78,27,105,add
347,97,65,162,add
348,51,43,94,add
349,21,77,98,add
350,100,19,119,add
351,76,36,112,add
352,7,84,91,add
353,29,0,29,add
354,20,65,85,add
355,94,62,156,add
356,67,97,164,add
357,50,50,100,add
358,53,41,94,add
359,71,66,137,add
360,20,16,36,add
361,13,96,109,add
362,79,35,114,add
363,23,32,55,add
364,91,56,147,add
365,32,36,68,add
366,65,64,129,add
367,55,1,56,add
368,7,96,103,add
369,81,56,137,add
370,11,11,22,add
371,22,28,50,add
372,71,99,170,add
373,22,39,61,add
374,22,88,110,add
375,23,38,61,add
376,82,8,90,add
377,39,32,71,add
378,75,90,165,add
379,52,20,72,add
380,11,66,77,add
381,58,36,94,add
382,46,45,91,add
383,6,15,21,add
384,6,68,74,add
385,50,95,145,add
386,79,6,85,add
387,31,51,82,add
388,81,34,115,add
389,25,57,82,add
390,15,48,63,add
391,52,95,147,add
392,7,42,49,add
393,15,27,42,add
394,3,61,64,add
395,73,83,156,add
396,71,14,85,add
397,58,62,120,add
398,59,29,88,add
399,62,74,136,add
400,12,91,103,add
401,86,64,150,add
402,12,63,75,add
403,38,29,67,add
404,75,41,116,add
405,39,32,71,add
406,34,70,104,add
407,48,42,90,add
408,3,96,99,add
409,60,41,101,add
410,14,18,32,add
411,32,85,117,add
412,101,5,106,add
413,4,39,43,add
414,12,37,49,add
415,80,92,172,add
416,61,78,139,add
417,46,23,69,add
418,34,89,123,add
419,26,62,88,add
420,49,3,52,add
421,66,72,138,add
422,2,63,65,add
423,5,19,24,add
424,6,87,93,add
425,19,10,29,add
426,37,73,110,add
427,75,61,136,add
428,24,76,100,add
429,43,17,60,add
430,54,10,64,add
431,38,90,128,add
432,50,12,62,add
433,53,30,83,add
434,20,50,70,add
435,75,98,173,add
436,51,51,102,add
437,69,10,79,add
438,13,49,62,add
439,21,92,113,add
440,57,47,104,add
441,72,13,85,add
442,38,35,73,add
443,28,6,34,add
444,61,64,125,add
445,13,74,87,add
446,17,52,69,add
447,101,12,113,add
448,9,55,64,add
449,20,100,120,add
450,17,23,40,add
451,34,49,83,add
452,48,26,74,add
453,83,82,165,add
454,42,96,138,add
455,54,42,96,add
456,53,7,60,add
457,98,5,103,add
458,58,79,137,add
459,19,78,97,add
460,56,12,68,add
461,6,65,71,add
462,101,58,159,add
463,4,91,95,add
464,92,28,120,add
465,23,83,106,add
466,13,80,93,add
467,7,6,13,add
468,67,47,114,add
469,73,23,96,add
470,99,36,135,add
471,58,61,119,add
472,35,25,60,add
473,7,88,95,add
474,79,100,179,add
475,84,88,172,add
476,61,24,85,add
477,31,51,82,add
478,33,39,72,add
479,32,22,54,add
480,85,34,119,add
481,94,74,168,add
482,6,19,25,add
483,30,74,104,add
484,101,38,139,add
485,19,39,58,add
486,32,94,126,add
487,58,1,59,add
488,72,6,78,add
489,64,17,81,add
490,8,63,71,add
491,53,28,81,add
492,92,78,170,add
493,39,18,57,add
494,99,22,121,add
495,81,67,148,add
496,44,57,101,add
497,10,100,110,add
498,97,10,107,add
499,93,83,176,add
500,30,38,68,add
501,63,19,82,add
502,6,77,83,add
503,35,26,61,add
504,38,86,124,add
505,94,71,165,add
506,48,8,56,add
507,7,79,86,add
508,94,39,133,add
509,28,65,93,add
510,59,83,142,add
511,3,41,44,add
512,10,76,86,add
513,24,91,115,add
514,59,32,91,add
515,2,63,65,add
516,19,100,119,add
517,38,0,38,add
518,25,97,122,add
519,0,91,91,add
520,39,29,68,add
521,35,90,125,add
522,14,2,16,add
523,2,96,98,add
524,60,24,84,add
525,52,54,106,add
526,6,83,89,add
527,83,32,115,add
528,82,3,85,add
529,36,64,100,add
530,5,64,69,add
531,24,93,117,add
532,4,42,46,add
533,43,32,75,add
534,49,20,69,add
535,70,98,168,add
536,79,96,175,add
537,33,10,43,add
538,51,97,148,add
539,67,9,76,add
540,56,28,84,add
541,53,9,62,add
542,19,66,85,add
543,5,7,12,add
544,78,91,169,add
545,86,46,132,add
546,2,81,83,add
547,79,54,133,add
548,42,93,135,add
549,27,99,126,add
550,9,2,11,add
551,32,3,35,add
552,29,21,50,add
553,59,37,96,add
554,38,15,53,add
555,71,20,91,add
556,47,60,107,add
557,31,27,58,add
558,53,9,62,add
559,79,31,110,add
560,22,87,109,add
561,0,100,100,add
562,40,32,72,add
563,53,64,117,add
564,98,37,135,add
565,92,76,168,add
566,85,65,150,add
567,7,37,44,add
568,83,72,155,add
569,88,62,150,add
570,50,19,69,add
571,11,92,103,add
572,44,34,78,add
573,73,25,98,add
574,20,63,83,add
575,48,76,124,add
576,84,64,148,add
577,80,67,147,add
578,23,90,113,add
579,55,67,122,add
580,32,4,36,add
581,96,75,171,add
582,73,78,151,add
583,56,69,125,add
584,77,84,161,add
585,31,39,70,add
586,33,93,126,add
587,83,21,104,add
588,77,23,100,add
589,47,50,97,add
590,16,85,101,add
591,58,83,141,add
592,99,49,148,add
593,27,87,114,add
594,63,53,116,add
595,40,26,66,add
596,76,86,162,add
597,41,56,97,add
598,54,1,55,add
599,8,13,21,add
600,83,2,85,add
601,61,53,114,add
602,98,86,184,add
603,29,96,125,add
604,73,64,137,add
605,92,47,139,add
606,73,74,147,add
607,22,9,31,add
608,39,93,132,add
609,40,82,122,add
610,71,62,133,add
611,20,33,53,add
612,18,9,27,add
613,62,49,111,add
614,100,54,154,add
615,15,79,94,add
616,98,83,181,add
617,92,2,94,add
618,37,20,57,add
619,96,66,162,add
620,20,9,29,add
621,19,97,116,add
622,57,29,86,add
623,52,74,126,add
624,8,63,71,add
625,95,17,112,add
626,58,21,79,add
627,8,35,43,add
628,36,83,119,add
629,85,86,171,add
630,56,69,125,add
631,95,30,125,add
632,46,49,95,add
633,24,26,50,add
634,71,53,124,add
635,13,10,23,add
636,10,83,93,add
637,11,52,63,add
638,68,73,141,add
639,58,0,58,add
640,46,90,136,add
641,75,44,119,add
642,33,56,89,add
643,50,1,51,add
644,44,58,102,add
645,38,65,103,add
646,13,80,93,add
647,94,69,163,add
648,30,60,90,add
649,64,1,65,add
650,14,92,106,add
651,17,47,64,add
652,29,80,109,add
653,80,67,147,add
654,92,12,104,add
655,30,24,54,add
656,42,76,118,add
657,78,101,179,add
658,100,70,170,add
659,60,90,150,add
660,82,88,170,add
661,50,7,57,add
662,18,56,74,add
663,78,67,145,add
664,33,33,66,add
665,84,0,84,add
666,47,39,86,add
667,89,25,114,add
668,52,21,73,add
669,80,34,114,add
670,61,92,153,add
671,64,74,138,add
672,36,44,80,add
673,29,90,119,add
674,42,0,42,add
675,21,76,97,add
676,14,101,115,add
677,47,41,88,add
678,39,66,105,add
679,92,35,127,add
680,51,65,116,add
681,27,45,72,add
682,31,60,91,add
683,70,82,152,add
684,5,25,30,add
685,59,59,118,add
686,8,30,38,add
687,35,36,71,add
688,96,74,170,add
689,55,96,151,add
690,16,69,85,add
691,43,13,56,add
692,82,95,177,add
693,17,30,47,add
694,34,54,88,add
695,73,95,168,add
696,72,18,90,add
697,74,101,175,add
698,56,64,120,add
699,55,70,125,add
700,25,57,82,add
701,21,58,79,add
702,55,71,126,add
703,64,8,72,add
704,91,89,180,add
705,80,86,166,add
706,44,24,68,add
707,12,1,13,add
708,77,44,121,add
709,3,67,70,add
710,77,95,172,add
711,50,73,123,add
712,12,42,54,add
713,28,21,49,add
714,86,8,94,add
715,89,33,122,add
716,31,28,59,add
717,31,47,78,add
718,44,3,47,add
719,72,7,79,add
720,63,0,63,add
721,73,67,140,add
722,51,28,79,add
723,97,21,118,add
724,11,2,13,add
725,79,2,81,add
726,89,55,144,add
727,24,27,51,add
728,92,11,103,add
729,94,93,187,add
730,93,68,161,add
731,48,43,91,add
732,33,74,107,add
733,72,81,153,add
734,63,47,110,add
735,96,66,162,add
736,42,5,47,add
737,75,98,173,add
738,23,47,70,add
739,55,0,55,add
740,47,54,101,add
741,3,39,42,add
742,35,33,68,add
743,84,96,180,add
744,101,88,189,add
745,96,8,104,add
746,83,70,153,add
747,86,86,172,add
748,34,26,60,add
749,19,52,71,add
750,51,78,129,add
751,22,87,109,add
752,20,31,51,add
753,65,15,80,add
754,90,1,91,add
755,49,44,93,add
756,51,94,145,add
757,24,77,101,add
758,12,55,67,add
759,57,26,83,add
760,9,0,9,add
761,52,6,58,add
762,54,7,61,add
763,52,49,101,add
764,8,33,41,add
765,7,37,44,add
766,18,30,48,add
767,26,46,72,add
768,29,45,74,add
769,34,100,134,add
770,11,33,44,add
771,91,92,183,add
772,52,18,70,add
773,68,16,84,add
774,18,88,106,add
775,52,56,108,add
776,17,42,59,add
777,30,24,54,add
778,69,77,146,add
779,33,21,54,add
780,78,19,97,add
781,32,57,89,add
782,83,12,95,add
783,22,67,89,add
784,49,3,52,add
785,33,42,75,add
786,69,99,168,add
787,15,24,39,add
788,32,27,59,add
789,44,32,76,add
790,5,52,57,add
791,88,46,134,add
792,48,44,92,add
793,60,8,68,add
794,83,29,112,add
795,48,95,143,add
796,65,37,102,add
797,92,31,123,add
798,41,45,86,add
799,101,27,128,add
800,85,101,186,add
801,60,89,149,add
802,49,63,112,add
803,59,72,131,add
804,98,26,124,add
805,7,97,104,add
806,98,51,149,add
807,19,81,100,add
808,76,23,99,add
809,82,56,138,add
810,59,5,64,add
811,55,58,113,add
812,62,101,163,add
813,80,1,81,add
814,9,6,15,add
815,63,29,92,add
816,96,50,146,add
817,17,42,59,add
818,76,92,168,add
819,45,10,55,add
820,33,73,106,add
821,76,92,168,add
822,96,52,148,add
823,35,85,120,add
824,66,81,147,add
825,60,91,151,add
826,39,34,73,add
827,48,57,105,add
828,7,38,45,add
829,15,3,18,add
830,45,15,60,add
831,75,42,117,add
832,86,86,172,add
833,59,88,147,add
834,26,6,32,add
835,0,86,86,add
836,17,89,106,add
837,37,6,43,add
838,23,85,108,add
839,18,50,68,add
840,44,10,54,add
841,98,65,163,add
842,31,62,93,add
843,68,46,114,add
844,97,81,178,add
845,21,13,34,add
846,30,64,94,add
847,42,55,97,add
848,94,4,98,add
849,67,92,159,add
850,56,1,57,add
851,70,64,134,add
852,100,5,105,add
853,10,73,83,add
854,30,26,56,add
855,19,46,65,add
856,16,26,42,add
857,73,68,141,add
858,87,22,109,add
859,18,55,73,add
860,49,27,76,add
861,97,80,177,add
862,95,0,95,add
863,78,58,136,add
864,6,41,47,add
865,79,50,129,add
866,35,43,78,add
867,67,78,145,add
868,45,24,69,add
869,60,6,66,add
870,75,23,98,add
871,13,98,111,add
872,69,44,113,add
873,63,11,74,add
874,73,12,85,add
875,87,61,148,add
876,82,86,168,add
877,96,13,109,add
878,78,16,94,add
879,61,46,107,add
880,48,56,104,add
881,68,28,96,add
882,92,88,180,add
883,55,45,100,add
884,81,17,98,add
885,15,55,70,add
886,78,10,88,add
887,43,76,119,add
888,87,15,102,add
889,61,51,112,add
890,41,90,131,add
891,1,93,94,add
892,6,59,65,add
893,45,0,45,add
894,88,24,112,add
895,8,98,106,add
896,94,61,155,add
897,72,92,164,add
898,71,94,165,add
899,79,79,158,add
900,6,47,53,add
901,26,55,81,add
902,84,56,140,add
903,23,62,85,add
904,63,32,95,add
905,88,63,151,add
906,96,68,164,add
907,37,21,58,add
908,26,78,104,add
909,13,94,107,add
910,55,0,55,add
911,19,12,31,add
912,26,94,120,add
913,48,92,140,add
914,68,55,123,add
915,84,56,140,add
916,14,59,73,add
917,24,16,40,add
918,20,67,87,add
919,18,70,88,add
920,35,35,70,add
921,83,57,140,add
922,43,89,132,add
923,26,53,79,add
924,59,26,85,add
925,88,37,125,add
926,12,70,82,add
927,18,83,101,add
928,52,60,112,add
929,70,37,107,add
930,95,30,125,add
931,77,45,122,add
932,88,45,133,add
933,1,76,77,add
934,21,5,26,add
935,83,4,87,add
936,96,8,104,add
937,53,84,137,add
938,101,98,199,add
939,66,55,121,add
940,43,42,85,add
941,43,22,65,add
942,63,64,127,add
943,87,96,183,add
944,45,45,90,add
945,46,50,96,add
946,29,45,74,add
947,32,27,59,add
948,39,87,126,add
949,42,10,52,add
950,84,87,171,add
951,19,99,118,add
952,9,89,98,add
953,15,22,37,add
954,30,33,63,add
955,59,55,114,add
956,97,46,143,add
957,33,17,50,add
958,64,34,98,add
959,99,80,179,add
960,100,70,170,add
961,60,2,62,add
962,28,49,77,add
963,59,74,133,add
964,16,56,72,add
965,74,79,153,add
966,58,42,100,add
967,97,45,142,add
968,36,65,101,add
969,71,63,134,add
970,31,90,121,add
971,29,34,63,add
972,1,8,9,add
973,72,56,128,add
974,20,65,85,add
975,27,19,46,add
976,52,16,68,add
977,32,94,126,add
978,9,11,20,add
979,86,5,91,add
980,85,86,171,add
981,88,35,123,add
982,6,19,25,add
983,18,62,80,add
984,66,36,102,add
985,24,51,75,add
986,43,61,104,add
987,41,35,76,add
988,32,5,37,add
989,94,42,136,add
990,63,39,102,add
991,15,64,79,add
992,86,52,138,add
993,43,92,135,add
994,15,40,55,add
995,55,95,150,add
996,75,37,112,add
997,25,62,87,add
998,68,62,130,add
999,91,100,191,add
1000,63,9,54,sub
1001,82,31,51,sub
1002,29,101,-72,sub
1003,34,76,-42,sub
1004,48,70,-22,sub
1005,24,100,-76,sub
1006,75,53,22,sub
1007,55,28,27,sub
1008,15,63,-48,sub
1009,57,59,-2,sub
1010,65,48,17,sub
1011,9,19,-10,sub
1012,83,40,43,sub
1013,51,45,6,sub
1014,3,90,-87,sub
1015,59,84,-25,sub
1016,79,2,77,sub
1017,26,12,14,sub
1018,65,27,38,sub
1019,18,62,-44,sub
1020,74,25,49,sub
1021,6,96,-90,sub
1022,85,50,35,sub
1023,101,49,52,sub
1024,100,41,59,sub
1025,91,89,2,sub
1026,79,10,69,sub
1027,31,82,-51,sub
1028,4,49,-45,sub
1029,13,89,-76,sub
1030,2,16,-14,sub
1031,41,47,-6,sub
1032,40,26,14,sub
1033,40,60,-20,sub
1034,75,55,20,sub
1035,50,67,-17,sub
1036,53,13,40,sub
1037,27,71,-44,sub
1038,61,43,18,sub
1039,92,61,31,sub
1040,76,20,56,sub
1041,76,58,18,sub
1042,44,63,-19,sub
1043,73,15,58,sub
1044,3,37,-34,sub
1045,45,99,-54,sub
1046,84,0,84,sub
1047,22,2,20,sub
1048,46,48,-2,sub
1049,47,43,4,sub
1050,96,98,-2,sub
1051,82,68,14,sub
1052,25,80,-55,sub
1053,95,69,26,sub
1054,50,63,-13,sub
1055,49,41,8,sub
1056,46,16,30,sub
1057,37,12,25,sub
1058,16,9,7,sub
1059,29,80,-51,sub
1060,1,59,-58,sub
1061,43,62,-19,sub
1062,37,54,-17,sub
1063,82,93,-11,sub
1064,20,84,-64,sub
1065,62,77,-15,sub
1066,54,91,-37,sub
1067,56,55,1,sub
1068,22,10,12,sub
1069,69,82,-13,sub
1070,71,31,40,sub
1071,74,58,16,sub
1072,33,34,-1,sub
1073,90,7,83,sub
1074,81,0,81,sub
1075,44,30,14,sub
1076,59,99,-40,sub
1077,16,19,-3,sub
1078,37,72,-35,sub
1079,70,65,5,sub
1080,35,71,-36,sub
1081,69,3,66,sub
1082,49,2,47,sub
1083,17,61,-44,sub
1084,62,18,44,sub
1085,40,49,-9,sub
1086,74,89,-15,sub
1087,18,87,-69,sub
1088,72,82,-10,sub
1089,52,2,50,sub
1090,67,1,66,sub
1091,48,11,37,sub
1092,52,29,23,sub
1093,91,53,38,sub
1094,73,78,-5,sub
1095,14,71,-57,sub
1096,20,62,-42,sub
1097,95,15,80,sub
1098,25,0,25,sub
1099,61,82,-21,sub
1100,91,37,54,sub
1101,51,61,-10,sub
1102,39,95,-56,sub
1103,83,28,55,sub
1104,31,99,-68,sub
1105,9,15,-6,sub
1106,44,81,-37,sub
1107,59,36,23,sub
1108,94,17,77,sub
1109,23,38,-15,sub
1110,7,20,-13,sub
1111,96,83,13,sub
1112,96,92,4,sub
1113,16,49,-33,sub
1114,9,32,-23,sub
1115,29,28,1,sub
1116,97,100,-3,sub
1117,45,92,-47,sub
1118,7,92,-85,sub
1119,54,24,30,sub
1120,84,53,31,sub
1121,46,52,-6,sub
1122,59,51,8,sub
1123,92,92,0,sub
1124,57,32,25,sub
1125,1,11,-10,sub
1126,73,39,34,sub
1127,36,2,34,sub
1128,14,73,-59,sub
1129,27,10,17,sub
1130,4,88,-84,sub
1131,90,47,43,sub
1132,99,59,40,sub
1133,93,27,66,sub
1134,42,43,-1,sub
1135,75,30,45,sub
1136,7,41,-34,sub
1137,53,27,26,sub
1138,89,26,63,sub
1139,2,26,-24,sub
1140,92,2,90,sub
1141,80,16,64,sub
1142,56,42,14,sub
1143,26,49,-23,sub
1144,24,64,-40,sub
1145,49,57,-8,sub
1146,24,95,-71,sub
1147,60,63,-3,sub
1148,43,26,17,sub
1149,19,15,4,sub
1150,95,86,9,sub
1151,32,62,-30,sub
1152,81,27,54,sub
1153,26,90,-64,sub
1154,101,36,65,sub
1155,41,18,23,sub
1156,42,33,9,sub
1157,1,49,-48,sub
1158,40,99,-59,sub
1159,6,64,-58,sub
1160,81,17,64,sub
1161,31,24,7,sub
1162,35,17,18,sub
1163,97,97,0,sub
1164,75,48,27,sub
1165,45,12,33,sub
1166,65,53,12,sub
1167,69,89,-20,sub
1168,62,16,46,sub
1169,56,83,-27,sub
1170,28,90,-62,sub
1171,28,21,7,sub
1172,12,79,-67,sub
1173,14,70,-56,sub
1174,21,7,14,sub
1175,0,48,-48,sub
1176,100,1,99,sub
1177,27,1,26,sub
1178,84,32,52,sub
1179,36,18,18,sub
1180,43,20,23,sub
1181,36,90,-54,sub
1182,10,26,-16,sub
1183,71,76,-5,sub
1184,77,76,1,sub
1185,25,11,14,sub
1186,58,2,56,sub
1187,29,77,-48,sub
1188,81,46,35,sub
1189,78,53,25,sub
1190,2,10,-8,sub
1191,19,85,-66,sub
1192,97,49,48,sub
1193,81,92,-11,sub
1194,27,63,-36,sub
1195,52,0,52,sub
1196,101,6,95,sub
1197,34,96,-62,sub
1198,29,48,-19,sub
1199,84,42,42,sub
1200,84,40,44,sub
1201,91,82,9,sub
1202,101,55,46,sub
1203,13,14,-1,sub
1204,57,9,48,sub
1205,30,100,-70,sub
1206,37,44,-7,sub
1207,79,90,-11,sub
1208,53,50,3,sub
1209,31,92,-61,sub
1210,1,83,-82,sub
1211,10,53,-43,sub
1212,30,16,14,sub
1213,4,59,-55,sub
1214,32,9,23,sub
1215,83,51,32,sub
1216,43,66,-23,sub
1217,73,65,8,sub
1218,85,8,77,sub
1219,24,61,-37,sub
1220,78,47,31,sub
1221,39,13,26,sub
1222,5,23,-18,sub
1223,12,17,-5,sub
1224,22,95,-73,sub
1225,34,30,4,sub
1226,85,32,53,sub
1227,57,86,-29,sub
1228,27,78,-51,sub
1229,10,63,-53,sub
1230,46,81,-35,sub
1231,3,27,-24,sub
1232,11,24,-13,sub
1233,77,70,7,sub
1234,50,27,23,sub
1235,40,69,-29,sub
1236,18,68,-50,sub
1237,88,77,11,sub
1238,52,31,21,sub
1239,49,53,-4,sub
1240,60,2,58,sub
1241,12,28,-16,sub
1242,61,48,13,sub
1243,78,76,2,sub
1244,69,40,29,sub
1245,25,95,-70,sub
1246,7,75,-68,sub
1247,46,36,10,sub
1248,87,30,57,sub
1249,68,48,20,sub
1250,77,4,73,sub
1251,27,81,-54,sub
1252,38,96,-58,sub
1253,60,40,20,sub
1254,13,85,-72,sub
1255,48,18,30,sub
1256,67,3,64,sub
1257,39,85,-46,sub
1258,32,49,-17,sub
1259,99,9,90,sub
1260,13,48,-35,sub
1261,8,16,-8,sub
1262,46,98,-52,sub
1263,61,4,57,sub
1264,64,4,60,sub
1265,51,49,2,sub
1266,21,80,-59,sub
1267,76,84,-8,sub
1268,38,100,-62,sub
1269,4,75,-71,sub
1270,28,39,-11,sub
1271,87,99,-12,sub
1272,93,80,13,sub
1273,90,26,64,sub
1274,0,68,-68,sub
1275,31,92,-61,sub
1276,22,8,14,sub
1277,95,49,46,sub
1278,6,25,-19,sub
1279,89,27,62,sub
1280,27,69,-42,sub
1281,56,32,24,sub
1282,101,31,70,sub
1283,43,56,-13,sub
1284,44,44,0,sub
1285,3,101,-98,sub
1286,71,62,9,sub
1287,18,73,-55,sub
1288,83,39,44,sub
1289,72,100,-28,sub
1290,32,59,-27,sub
1291,12,37,-25,sub
1292,12,89,-77,sub
1293,81,36,45,sub
1294,76,24,52,sub
1295,81,57,24,sub
1296,44,24,20,sub
1297,59,80,-21,sub
1298,8,80,-72,sub
1299,62,57,5,sub
1300,41,82,-41,sub
1301,99,92,7,sub
1302,24,59,-35,sub
1303,97,88,9,sub
1304,19,29,-10,sub
1305,18,33,-15,sub
1306,17,68,-51,sub
1307,92,35,57,sub
1308,41,79,-38,sub
1309,7,80,-73,sub
1310,95,83,12,sub
1311,90,84,6,sub
1312,40,82,-42,sub
1313,3,52,-49,sub
1314,96,1,95,sub
1315,26,49,-23,sub
1316,79,21,58,sub
1317,78,94,-16,sub
